STRATO	M1	M2	M3	M4	S1	S2	S3	S4	N	DOM1	COST	CENS	SOLUZ
1	109.392682926829	113.7	139.760975609756	59.9634146341463	82.4604840961677	90.4787753102957	104.40282352641	45.086835779858	410	1	1	0	4.73387929439918
2	833.540540540541	931.837837837838	1116.18918918919	497.27027027027	226.840471124756	221.83537124899	266.253934054254	188.017452420505	37	1	1	0	2
3	1727.34615384615	2028.61538461538	2270.42307692308	945.653846153846	375.402663938397	526.44016808682	562.939217375117	317.09104297739	26	1	1	0	2
4	3199.8	4181.3	4538.6	2086.35	906.727110002722	1401.64436191627	1249.87530894752	751.265220820111	20	1	1	0	2.53937075507379
5	6209.5	7805	8336.25	3867.25	926.230532858856	764.503065723088	875.019249788255	181.133065727934	4	1	1	0	2
6	28360	52138	46242	24699	4069	7936	10821	3699	2	1	1	0	2
7	444.066666666667	486.633333333333	594.411111111111	243.922222222222	120.253142512549	135.017466655156	159.915956524845	89.4872696439358	90	1	1	0	2
1	118.48813559322	122.43220338983	145.969491525424	66.3661016949153	74.6205694012386	79.3061699535652	93.6817603567162	45.1187473692057	590	2	1	0	4.26909922094083
2	683.19540229885	774.252873563219	931.068965517241	436.712643678161	135.274916609135	145.575940067005	177.156031803622	113.854740115111	87	2	1	0	2
3	1111.80769230769	1310.23076923077	1551	767.538461538462	182.097215731469	212.453775210824	246.062677949543	171.799697537943	52	2	1	0	2
4	1891.6	2292.53333333333	2650.4	1227.2	323.76839458683	388.130482068996	478.788706200538	268.273100210021	15	2	1	0	2
5	2745.25	3604.25	4311.875	2331.625	337.84984440001	704.123669791828	661.933697953285	645.151796306712	16	2	1	0	2
6	7775.5	11921.3333333333	12051.5	6966.83333333333	922.223174363632	1587.90225000016	1923.99131581547	1388.22181424856	6	2	1	0	2
7	19399	44263	39397	25575	0	0	0	0	1	2	1	0	1
8	406.486301369863	426.527397260274	509.821917808219	232.178082191781	85.1142965933414	102.656009232374	109.73174554168	62.5189361685362	146	2	1	0	2
1	166.109489051095	169	205.890510948905	73.4160583941606	80.156071342359	82.4487509590054	91.3417380468723	35.375093372321	137	3	1	0	2
2	862.722222222222	977.583333333333	1201.05555555556	454.444444444444	145.79438964146	176.677557076112	188.373638550136	92.3740092288871	36	3	1	0	2
3	1378.57692307692	1714.46153846154	1962.69230769231	840.346153846154	209.694621040989	297.107465422911	298.37356909703	198.93901764515	26	3	1	0	2
4	2180.4	2868.73333333333	3326.13333333333	1570.93333333333	400.875262394676	499.474035583655	469.025336439538	406.771146414732	15	3	1	0	2
5	3287.66666666667	4638.33333333333	5841.88888888889	3117.55555555556	308.185651569526	579.60868624156	646.150149293567	702.431093672557	9	3	1	0	2
6	28161	50349	53734	34314	0	0	0	0	1	3	1	0	1
7	432.360824742268	475.340206185567	573.19587628866	208.835051546392	116.264162871088	139.285604778915	154.268272797086	77.100123991992	97	3	1	0	2
