DOM1	AGGR_STRATUM	X1	X2	X3	X4	X5	X6
1	1	1	1	1	1	1	1
1	1	1	1	2	1	1	1
1	1	1	2	1	1	1	1
1	1	1	2	1	2	1	1
1	1	1	2	1	3	1	1
1	1	1	3	1	2	1	1
1	1	2	1	1	1	1	1
1	1	2	1	1	1	1	2
1	1	2	1	1	2	1	1
1	1	2	1	2	1	1	1
1	1	2	2	1	1	1	1
1	1	2	2	1	2	1	1
1	1	2	2	2	1	1	1
1	1	3	1	1	1	1	1
1	1	3	1	1	2	1	1
1	1	3	1	2	1	1	1
1	1	3	2	1	1	1	1
1	1	3	2	1	2	1	1
1	1	4	1	1	1	1	1
1	1	4	1	1	2	1	1
1	1	4	1	2	1	1	1
1	1	4	2	1	1	1	1
1	1	4	2	1	2	1	1
1	1	4	2	2	1	1	1
1	1	4	2	2	2	1	1
1	1	4	3	1	2	1	1
1	1	5	1	1	1	1	1
1	1	5	1	1	1	1	2
1	1	5	1	2	1	1	1
1	1	5	2	1	1	1	1
1	1	5	2	1	1	2	1
1	1	5	2	1	2	1	1
1	1	5	2	2	1	1	1
1	1	5	2	2	2	1	1
1	1	5	3	2	2	2	1
1	1	8	2	1	1	1	1
1	2	2	2	2	2	1	1
1	2	9	1	1	1	1	1
1	2	9	1	1	1	2	1
1	2	9	1	2	1	1	1
1	2	9	1	2	1	1	2
1	2	9	1	2	1	2	1
1	2	9	1	3	1	2	3
1	2	9	2	1	1	2	1
1	2	9	2	2	1	1	1
1	2	9	2	2	1	2	2
1	2	9	2	2	2	1	2
1	2	9	2	2	2	2	1
1	2	9	3	2	1	2	1
1	2	9	3	3	3	2	1
1	2	10	1	1	1	1	1
1	2	10	1	1	1	1	2
1	2	10	1	1	1	2	1
1	2	10	1	2	1	1	1
1	2	10	1	2	1	1	2
1	2	10	2	1	2	1	2
1	2	10	2	2	1	2	2
1	2	10	3	2	2	2	1
1	2	11	1	1	1	2	1
1	2	11	2	1	1	2	1
1	3	11	1	2	1	2	2
1	3	11	2	2	1	2	1
1	3	11	2	2	1	2	3
1	3	11	2	2	2	2	1
1	3	11	3	2	2	2	1
1	3	12	1	1	1	1	1
1	3	12	1	1	1	1	2
1	3	12	1	1	1	2	1
1	3	12	1	1	1	2	2
1	3	12	1	3	1	2	2
1	3	12	2	1	1	1	3
1	3	12	2	1	2	2	1
1	3	12	2	1	3	2	1
1	3	12	3	2	2	2	2
1	3	12	3	2	3	2	1
