STRATO	N	M1	M2	S1	S2	COST	CENS	DOM1	X1	X2	LABEL	STRATUM
1*1	11	1505.90909090909	2259	1545.24816803853	2404.21803579383	1	0	1	1	1	1	1*1
1*11	1	432	462	0	0	1	0	1	1	11	2	1*11
1*2	17	237.235294117647	313.470588235294	390.395505249524	593.65082999898	1	0	1	1	2	3	1*2
1*3	22	526.045454545455	618	914.335400827624	1158.75058105311	1	0	1	1	3	4	1*3
1*4	18	253.555555555556	287.111111111111	425.243096778801	518.731132335742	1	0	1	1	4	5	1*4
1*5	21	227.095238095238	247.333333333333	205.073483870656	265.291453981382	1	0	1	1	5	6	1*5
1*6	7	197.714285714286	243	198.874486107419	246.473412069421	1	0	1	1	6	7	1*6
1*7	7	252.714285714286	245.285714285714	198.848624612302	188.383131096265	1	0	1	1	7	8	1*7
1*8	8	460.125	443.625	579.929184793281	565.417088860073	1	0	1	1	8	9	1*8
1*9	4	336.75	394.25	257.0023103009	322.771106978304	1	0	1	1	9	9	1*9
10*1	1	174	208	0	0	1	0	1	10	1	3	10*1
10*12	1	201	231	0	0	1	0	1	10	12	10	10*12
10*2	3	158.333333333333	156	69.8013053045731	68.4446248193871	1	0	1	10	2	11	10*2
10*3	3	247.666666666667	241.666666666667	55.769366342305	42.6796855137846	1	0	1	10	3	10	10*3
10*4	3	238.666666666667	256	64.8553947040816	85.5258245599928	1	0	1	10	4	10	10*4
10*5	3	62	71.3333333333333	11.2249721603218	6.12825877028341	1	0	1	10	5	6	10*5
10*6	4	915.75	1061.25	762.199899960634	891.844822544819	1	0	1	10	6	12	10*6
10*7	3	119.666666666667	133.666666666667	25.1042271783503	43.7442059655397	1	0	1	10	7	12	10*7
10*8	1	598	806	0	0	1	0	1	10	8	4	10*8
10*9	2	469	597.5	22	20.5	1	0	1	10	9	12	10*9
11*1	1	15	26	0	0	1	0	1	11	1	9	11*1
11*11	3	482.333333333333	478.333333333333	224.544477158139	221.814236593496	1	0	1	11	11	13	11*11
11*12	5	1523.8	1793.6	1021.50387174988	1297.73719989835	1	0	1	11	12	12	11*12
11*13	1	1642	1799	0	0	1	0	1	11	13	12	11*13
11*2	2	64.5	63	27.5	22	1	0	1	11	2	12	11*2
11*3	5	309.2	574.2	486.616234829871	976.394264628792	1	0	1	11	3	13	11*3
11*4	1	51	65	0	0	1	0	1	11	4	13	11*4
11*5	1	145	147	0	0	1	0	1	11	5	5	11*5
11*6	2	157	143	71	60	1	0	1	11	6	11	11*6
11*7	2	212	202	66	104	1	0	1	11	7	1	11*7
11*8	2	389.5	380.5	6.5	49.5	1	0	1	11	8	4	11*8
11*9	1	90	80	0	0	1	0	1	11	9	7	11*9
12*10	2	129	152	39	61	1	0	1	12	10	12	12*10
12*11	1	626	758	0	0	1	0	1	12	11	14	12*11
12*12	3	8266.66666666667	14918.3333333333	11331.1298151989	20706.8053601279	1	0	1	12	12	15	12*12
12*2	2	326	328.5	96	91.5	1	0	1	12	2	11	12*2
12*6	4	323	355.5	150.3013639326	150.70252154493	1	0	1	12	6	5	12*6
12*7	3	357.333333333333	392.666666666667	199.740387058357	237.432563525356	1	0	1	12	7	11	12*7
12*8	1	139	136	0	0	1	0	1	12	8	14	12*8
12*9	6	1625.5	2106.16666666667	1790.21132365242	2436.45195702458	1	0	1	12	9	14	12*9
13*1	1	20	23	0	0	1	0	1	13	1	16	13*1
13*10	1	243	322	0	0	1	0	1	13	10	11	13*10
13*12	2	1159.5	1285	353.5	388	1	0	1	13	12	11	13*12
13*13	1	940	936	0	0	1	0	1	13	13	15	13*13
13*4	1	1021	1121	0	0	1	0	1	13	4	4	13*4
13*6	2	430.5	504	169.5	166	1	0	1	13	6	7	13*6
13*7	1	307	306	0	0	1	0	1	13	7	17	13*7
13*8	1	2836	3353	0	0	1	0	1	13	8	15	13*8
13*9	2	567	602.5	377	430.5	1	0	1	13	9	6	13*9
14*12	2	762	842	559	612	1	0	1	14	12	18	14*12
14*14	2	1720	1499.5	200	38.5	1	0	1	14	14	17	14*14
14*5	1	412	490	0	0	1	0	1	14	5	13	14*5
14*9	1	371	423	0	0	1	0	1	14	9	19	14*9
15*11	1	1449	2076	0	0	1	0	1	15	11	20	15*11
15*12	1	713	693	0	0	1	0	1	15	12	17	15*12
15*13	1	993	1054	0	0	1	0	1	15	13	21	15*13
15*14	1	705	689	0	0	1	0	1	15	14	6	15*14
15*7	1	534	425	0	0	1	0	1	15	7	20	15*7
2*1	5	8411.6	14550.8	12208.9294633068	22947.0421919689	1	0	1	2	1	22	2*1
2*10	2	149	127	12	10	1	0	1	2	10	21	2*10
2*11	2	124	126.5	16	15.5	1	0	1	2	11	6	2*11
2*13	2	825	1041.5	413	549.5	1	0	1	2	13	17	2*13
2*2	6	728.666666666667	728.166666666667	768.425157202848	757.603769936649	1	0	1	2	2	20	2*2
2*3	8	120.875	106.375	182.117021101818	152.716188974843	1	0	1	2	3	8	2*3
2*4	11	118	114.909090909091	98.2593969598282	93.0527265444456	1	0	1	2	4	20	2*4
2*5	14	103.428571428571	93.3571428571429	162.127249091444	122.411838329736	1	0	1	2	5	23	2*5
2*6	14	163.642857142857	191.142857142857	178.246862181501	221.126937411478	1	0	1	2	6	9	2*6
2*7	14	554.285714285714	662.357142857143	975.752707881857	1332.49398857625	1	0	1	2	7	21	2*7
2*8	11	266.181818181818	325.636363636364	313.421533802704	427.711090409758	1	0	1	2	8	23	2*8
2*9	6	881.333333333333	1111.5	1586.33074175035	2098.50214438775	1	0	1	2	9	21	2*9
3*1	2	78	79	49	44	1	0	1	3	1	21	3*1
3*10	5	447.4	483.8	447.90427548752	467.81594671409	1	0	1	3	10	20	3*10
3*11	3	339	350.666666666667	263.044989814797	279.38782284766	1	0	1	3	11	7	3*11
3*2	1	31	35	0	0	1	0	1	3	2	24	3*2
3*3	5	220.8	234.2	208.641702447042	245.322970795643	1	0	1	3	3	9	3*3
3*4	5	1696.2	2002.4	2915.02338927152	3466.83651763391	1	0	1	3	4	15	3*4
3*5	6	810.5	1083.5	954.470490202115	1372.38791284874	1	0	1	3	5	25	3*5
3*6	11	150	138.545454545455	127.907637130719	113.913335189012	1	0	1	3	6	13	3*6
3*7	9	419.222222222222	407.333333333333	723.913711521197	679.734752188921	1	0	1	3	7	7	3*7
3*8	9	116.777777777778	131.333333333333	84.4429824434844	107.651701746368	1	0	1	3	8	10	3*8
3*9	4	1669.25	2080.25	2399.64928427052	3022.7835991847	1	0	1	3	9	21	3*9
4*1	3	134.666666666667	145.666666666667	173.524894147465	189.793454986086	1	0	1	4	1	6	4*1
4*10	4	179.75	175.75	107.124635355272	108.308298389366	1	0	1	4	10	26	4*10
4*11	4	129.5	132	16.0390149323454	23.6326045961929	1	0	1	4	11	24	4*11
4*12	1	202	244	0	0	1	0	1	4	12	4	4*12
4*13	1	174	208	0	0	1	0	1	4	13	9	4*13
4*2	1	5	5	0	0	1	0	1	4	2	21	4*2
4*3	1	1791	2074	0	0	1	0	1	4	3	23	4*3
4*4	2	1754	2211.5	1353	1854.5	1	0	1	4	4	27	4*4
4*5	5	382.6	495.8	653.283583139818	893.144870667687	1	0	1	4	5	11	4*5
4*6	4	102.25	103.5	46.1539543267963	53.4251813286581	1	0	1	4	6	4	4*6
4*7	6	110.833333333333	113.333333333333	75.9592361438394	79.3025150224688	1	0	1	4	7	24	4*7
4*8	4	148	161	90.8157475331234	96.8633057457776	1	0	1	4	8	12	4*8
4*9	8	557.375	630.25	838.405173156154	1067.00735119305	1	0	1	4	9	28	4*9
5*10	4	178	152.25	121.40840168621	92.2886098064111	1	0	1	5	10	19	5*10
5*11	4	773	811.25	443.792181093809	431.201446542101	1	0	1	5	11	23	5*11
5*12	3	360.333333333333	413	301.753026312726	344.430931634583	1	0	1	5	12	29	5*12
5*2	6	73.3333333333333	86.6666666666667	72.6536685622657	80.5474325406396	1	0	1	5	2	8	5*2
5*3	7	108.571428571429	123.571428571429	104.792116855716	133.30186703532	1	0	1	5	3	10	5*3
5*4	1	480	624	0	0	1	0	1	5	4	6	5*4
5*5	3	117	124	75.4188305398592	60.4372953288503	1	0	1	5	5	21	5*5
5*6	2	73	66	7	4	1	0	1	5	6	4	5*6
5*7	7	242	262.285714285714	171.259202046822	200.092631609687	1	0	1	5	7	25	5*7
5*8	4	318.25	381.75	234.328161986561	322.901978160556	1	0	1	5	8	21	5*8
5*9	7	325	350.857142857143	602.572105940146	674.09567539915	1	0	1	5	9	30	5*9
6*1	2	14.5	15	1.5	6	1	0	1	6	1	17	6*1
6*10	2	300.5	344	118.5	124	1	0	1	6	10	9	6*10
6*11	2	230	248	164	156	1	0	1	6	11	20	6*11
6*12	2	1191.5	1341	1011.5	1210	1	0	1	6	12	11	6*12
6*13	1	184	217	0	0	1	0	1	6	13	23	6*13
6*14	2	3679.5	4352	3052.5	3646	1	0	1	6	14	27	6*14
6*2	6	129.833333333333	147.666666666667	163.282390014627	185.660682129763	1	0	1	6	2	12	6*2
6*3	3	131.666666666667	131	56.8409085860605	68.5127725318426	1	0	1	6	3	23	6*3
6*4	2	68.5	55	56.5	45	1	0	1	6	4	7	6*4
6*5	3	338.666666666667	368	382.832716586356	426.591920536086	1	0	1	6	5	25	6*5
6*6	4	82	86.25	18.0969610708539	33.9070420414403	1	0	1	6	6	25	6*6
6*7	3	235.333333333333	271.666666666667	217.761847489918	254.671465923365	1	0	1	6	7	12	6*7
6*8	2	305	281	0	24	1	0	1	6	8	26	6*8
6*9	2	265	310.5	170	203.5	1	0	1	6	9	24	6*9
7*1	2	37	34	0	13	1	0	1	7	1	31	7*1
7*10	4	224.75	289.25	179.423207807686	277.675507562334	1	0	1	7	10	29	7*10
7*11	1	232	249	0	0	1	0	1	7	11	21	7*11
7*12	3	1258	1476.33333333333	1342.34297654015	1744.23972613349	1	0	1	7	12	23	7*12
7*14	2	1208	1460	516	629	1	0	1	7	14	24	7*14
7*2	8	115	144.375	90.190077059508	137.188681657781	1	0	1	7	2	32	7*2
7*3	2	19	20	4	2	1	0	1	7	3	9	7*3
7*4	1	81	135	0	0	1	0	1	7	4	25	7*4
7*5	3	81.3333333333333	76.6666666666667	24.6080384337223	26.0810701893581	1	0	1	7	5	32	7*5
7*6	3	141.666666666667	168.666666666667	158.640754186586	174.291581998545	1	0	1	7	6	6	7*6
7*7	2	223	209	169	161	1	0	1	7	7	12	7*7
7*8	2	1501	1424	1413	1361	1	0	1	7	8	15	7*8
7*9	1	143	151	0	0	1	0	1	7	9	1	7*9
8*1	2	126	179.5	24	69.5	1	0	1	8	1	33	8*1
8*10	1	69	81	0	0	1	0	1	8	10	26	8*10
8*11	1	212	274	0	0	1	0	1	8	11	6	8*11
8*12	2	926	938.5	309	325.5	1	0	1	8	12	11	8*12
8*13	1	730	789	0	0	1	0	1	8	13	32	8*13
8*14	1	453	465	0	0	1	0	1	8	14	12	8*14
8*2	4	88.5	109.5	88.9761203919344	96.0585758795122	1	0	1	8	2	4	8*2
8*3	2	164.5	202	52.5	79	1	0	1	8	3	20	8*3
8*4	1	198	193	0	0	1	0	1	8	4	21	8*4
8*5	6	114	123.666666666667	57.2916515151495	65.7512146064407	1	0	1	8	5	29	8*5
8*6	3	248	419.333333333333	251.357646922998	496.777839906554	1	0	1	8	6	29	8*6
8*7	1	62	52	0	0	1	0	1	8	7	5	8*7
8*8	5	273.2	309.8	229.684479231837	284.050277239787	1	0	1	8	8	23	8*8
9*1	1	74	80	0	0	1	0	1	9	1	5	9*1
9*10	1	1026	1066	0	0	1	0	1	9	10	15	9*10
9*11	2	1191.5	1240.5	896.5	941.5	1	0	1	9	11	32	9*11
9*14	1	593	731	0	0	1	0	1	9	14	1	9*14
9*2	3	70.6666666666667	78	23.4710223230453	15.7480157480236	1	0	1	9	2	10	9*2
9*3	6	94.6666666666667	103.166666666667	35.4244109180222	34.9734025923828	1	0	1	9	3	17	9*3
9*4	1	151	144	0	0	1	0	1	9	4	16	9*4
9*5	3	197	224	103.781822428914	155.572062616225	1	0	1	9	5	12	9*5
9*6	5	579	549.8	443.330125301676	392.069585660505	1	0	1	9	6	31	9*6
9*7	5	174.8	194.6	96.1153473697099	118.369928613647	1	0	1	9	7	6	9*7
9*8	2	511.5	602	93.5	136	1	0	1	9	8	34	9*8
9*9	1	123	88	0	0	1	0	1	9	9	1	9*9
1*1	6	426	568.166666666667	519.180122886075	715.456361740921	1	0	2	1	1	1	1*1
1*11	1	170	221	0	0	1	0	2	1	11	2	1*11
1*2	18	155.888888888889	178.5	235.228467874884	266.890583073538	1	0	2	1	2	3	1*2
1*3	16	114.4375	126.9375	177.036708322737	213.458564114326	1	0	2	1	3	4	1*3
1*4	14	92.9285714285714	93.6428571428571	63.0549242279122	67.749124551916	1	0	2	1	4	5	1*4
1*5	17	297.823529411765	404.117647058824	670.954739886215	1040.2583888491	1	0	2	1	5	6	1*5
1*6	6	89.5	87.1666666666667	125.432252630653	106.382042135357	1	0	2	1	6	4	1*6
1*7	6	179.166666666667	191.5	147.775073074664	171.24908758881	1	0	2	1	7	7	1*7
1*8	2	63.5	71	10.5	7	1	0	2	1	8	8	1*8
1*9	4	196.25	212.5	49.8366080306435	62.2796114310293	1	0	2	1	9	7	1*9
10*10	3	657.666666666667	726.666666666667	393.6464855115	484.370611091227	1	0	2	10	10	7	10*10
