STRATO	M1	M2	S1	S2	N	DOM1	COST	CENS	SOLUZ
1	1115.5	1638.9375	1355.43650946783	2115.6560237587	16	1	1	0	7.83091336444417
2	432	462	0	0	1	1	1	0	1
3	233.722222222222	307.611111111111	368.35331473646	560.220540393558	18	1	1	0	2.3941444209666
4	407.621621621622	473.297297297297	723.25610001998	910.958999739539	37	1	1	0	9.66289113044698
5	245.48	274.76	360.016002346672	437.045778945212	25	1	1	0	3.24993796336471
6	224.690476190476	246.880952380952	208.102590578247	246.770774806426	42	1	1	0	3.15602208895467
7	302.583333333333	317.375	456.021405917245	438.98892323032	24	1	1	0	3.95193441056474
8	151.238095238095	147.047619047619	170.667578459672	156.035500392185	21	1	1	0	2
9	250.027027027027	268.513513513513	321.247962333233	330.349081906908	37	1	1	0	4.29195700640507
10	141.653846153846	154.038461538462	94.5614464948176	108.614785555376	26	1	1	0	2
11	510.136363636364	569.045454545455	525.853687154371	629.114666728952	22	1	1	0	4.17734997313267
12	478.28947368421	551	658.780711224381	787.350864004255	38	1	1	0	9.03936095076492
13	243.142857142857	304.047619047619	273.072694452802	482.582802610895	21	1	1	0	2.07066969515362
14	1314.75	1691.375	1519.06389417409	2061.67964703877	8	1	1	0	4.38812798210891
15	3160.38461538462	4843.84615384615	5524.87102409873	10028.74091733	13	1	1	0	13
16	85.5	83.5	65.5	60.5	2	1	1	0	2
17	479.071428571429	480.714285714286	593.931982017334	559.273586146349	14	1	1	0	3.00246535354499
18	762	842	395.27269068328	432.749350086167	2	1	1	0	2
19	216.6	206.4	121.671031885162	129.765952776528	5	1	1	0	2
20	381.392857142857	409.035714285714	488.897157504897	546.731780745045	28	1	1	0	4.94297940268514
21	595.666666666667	719.871794871795	1135.26579653498	1479.53875208316	39	1	1	0	15.9873107948352
22	8411.6	14550.8	10919.9984849816	20524.4584895193	5	1	1	0	5
23	356.619047619047	399.904761904762	537.374427999721	647.736070484889	42	1	1	0	8.14966099216156
24	277.333333333333	318.933333333333	397.642576340259	486.374635745221	15	1	1	0	2.15376043777521
25	380.095238095238	472.428571428571	565.693160546992	796.347469750324	21	1	1	0	4.28956724011893
26	199.714285714286	192.285714285714	103.701316337856	96.3525824929524	7	1	1	0	2
27	2716.75	3281.75	1927.16861613093	2308.36665740086	4	1	1	0	2.78351113574817
28	557.375	630.25	784.256227312302	998.093984333393	8	1	1	0	2.26548515136013
29	213	274.75	185.340130505227	278.569919565637	16	1	1	0	2
30	325	350.857142857143	557.873367241662	624.091325454286	7	1	1	0	2
31	424.142857142857	402.428571428571	415.043759679602	377.040004373487	7	1	1	0	2
32	305.5	332.5	466.991086213832	489.630202543772	14	1	1	0	2.36074937741287
33	126	179.5	16.9705627484771	49.1439212924651	2	1	1	0	2
34	511.5	602	66.1144840409422	96.1665222413705	2	1	1	0	2
1	466.571428571429	582.285714285715	449.900578586253	605.659218539822	7	2	1	0	2
2	170	221	0	0	1	2	1	0	1
3	346.729166666667	390.041666666667	523.506619117405	652.877453380052	48	2	1	0	5.99892648822654
4	131.853658536585	141.512195121951	131.951306689845	152.958940077939	41	2	1	0	2
5	327.255813953488	373.488372093023	422.092965723998	519.870028586147	43	2	1	0	4.33298011209116
6	375.973684210526	426.763157894737	509.045427242798	722.741229110177	38	2	1	0	4.61796101902196
7	610.423076923077	766.153846153847	1452.1599460737	2020.35446899577	26	2	1	0	9.01359265080307
8	313.923076923077	371	581.03082183314	730.681577939906	13	2	1	0	2
9	506.033613445378	564.067226890756	517.699350938182	622.513002987081	119	2	1	0	14.707359470571
10	451.429577464789	505.62676056338	496.480009024691	601.254975114074	142	2	1	0	16.8306247034812
11	2059.375	3384	3090.30699127889	5194.07695120124	8	2	1	0	5.90203440599118
12	3647.53846153846	6504.53846153846	4780.36063513408	10104.5035308697	13	2	1	0	13
13	316.5	365.291666666667	383.932968229771	493.666337215517	48	2	1	0	4.39953492221694
14	441.4	576.533333333333	651.85859611831	1048.46447542214	15	2	1	0	2.33428984947775
15	320.371134020619	374.742268041237	452.923079636819	625.46297967654	97	2	1	0	10.4883292283646
16	171.447368421053	186.934210526316	158.72168119898	186.414305840049	76	2	1	0	2.87978438632032
17	226.833333333333	253.714285714286	262.877930891912	317.376423628116	42	2	1	0	2.63580661554394
18	247.65	290.7	409.687260144858	557.995089136097	20	2	1	0	2
19	300.805555555556	335.416666666667	278.515539436181	332.745184554086	36	2	1	0	2.39365776748983
20	433.836363636364	493.272727272727	567.823451400713	706.067019023129	55	2	1	0	7.45566078014326
21	255.461538461539	285.461538461538	166.965578123366	196.524913161588	13	2	1	0	2
22	369.75	443.916666666667	414.99549626685	505.325556065967	12	2	1	0	2
