STRATO	M1	M2	S1	S2	N	DOM1	COST	CENS	SOLUZ
1	466.571428571429	582.285714285715	449.900578586253	605.659218539822	7	2	1	0	2
2	170	221	0	0	1	2	1	0	1
3	346.729166666667	390.041666666667	523.506619117405	652.877453380052	48	2	1	0	5.99892648822654
4	131.853658536585	141.512195121951	131.951306689845	152.958940077939	41	2	1	0	2
5	327.255813953488	373.488372093023	422.092965723998	519.870028586147	43	2	1	0	4.33298011209116
6	375.973684210526	426.763157894737	509.045427242798	722.741229110177	38	2	1	0	4.61796101902196
7	610.423076923077	766.153846153847	1452.1599460737	2020.35446899577	26	2	1	0	9.01359265080307
8	313.923076923077	371	581.03082183314	730.681577939906	13	2	1	0	2
9	506.033613445378	564.067226890756	517.699350938182	622.513002987081	119	2	1	0	14.707359470571
10	451.429577464789	505.62676056338	496.480009024691	601.254975114074	142	2	1	0	16.8306247034812
11	2059.375	3384	3090.30699127889	5194.07695120124	8	2	1	0	5.90203440599118
12	3647.53846153846	6504.53846153846	4780.36063513408	10104.5035308697	13	2	1	0	13
13	316.5	365.291666666667	383.932968229771	493.666337215517	48	2	1	0	4.39953492221694
14	441.4	576.533333333333	651.85859611831	1048.46447542214	15	2	1	0	2.33428984947775
15	320.371134020619	374.742268041237	452.923079636819	625.46297967654	97	2	1	0	10.4883292283646
16	171.447368421053	186.934210526316	158.72168119898	186.414305840049	76	2	1	0	2.87978438632032
17	226.833333333333	253.714285714286	262.877930891912	317.376423628116	42	2	1	0	2.63580661554394
18	247.65	290.7	409.687260144858	557.995089136097	20	2	1	0	2
19	300.805555555556	335.416666666667	278.515539436181	332.745184554086	36	2	1	0	2.39365776748983
20	433.836363636364	493.272727272727	567.823451400713	706.067019023129	55	2	1	0	7.45566078014326
21	255.461538461539	285.461538461538	166.965578123366	196.524913161588	13	2	1	0	2
22	369.75	443.916666666667	414.99549626685	505.325556065967	12	2	1	0	2
