DOM1	AGGR_STRATUM	X1	X2
1	1	1	1
1	1	7	9
1	1	9	9
1	1	9	14
1	1	11	7
1	2	1	11
1	3	1	2
1	3	10	1
1	4	1	3
1	4	4	6
1	4	4	12
1	4	5	6
1	4	8	2
1	4	10	8
1	4	11	8
1	4	13	4
1	5	1	4
1	5	8	7
1	5	9	1
1	5	11	5
1	5	12	6
1	6	1	5
1	6	2	11
1	6	4	1
1	6	5	4
1	6	7	6
1	6	8	11
1	6	9	7
1	6	10	5
1	6	13	9
1	6	15	14
1	7	1	6
1	7	3	7
1	7	3	11
1	7	6	4
1	7	11	9
1	7	13	6
1	8	1	7
1	8	2	3
1	8	5	2
1	9	1	8
1	9	1	9
1	9	2	6
1	9	3	3
1	9	4	13
1	9	6	10
1	9	7	3
1	9	11	1
1	10	3	8
1	10	5	3
1	10	9	2
1	10	10	3
1	10	10	4
1	10	10	12
1	11	4	5
1	11	6	12
1	11	8	12
1	11	10	2
1	11	11	6
1	11	12	2
1	11	12	7
1	11	13	10
1	11	13	12
1	12	4	8
1	12	6	2
1	12	6	7
1	12	7	7
1	12	8	14
1	12	9	5
1	12	10	6
1	12	10	7
1	12	10	9
1	12	11	2
1	12	11	12
1	12	11	13
1	12	12	10
1	13	3	6
1	13	11	3
1	13	11	4
1	13	11	11
1	13	14	5
1	14	12	8
1	14	12	9
1	14	12	11
1	15	3	4
1	15	7	8
1	15	9	10
1	15	12	12
1	15	13	8
1	15	13	13
1	16	9	4
1	16	13	1
1	17	2	13
1	17	6	1
1	17	9	3
1	17	13	7
1	17	14	14
1	17	15	12
1	18	14	12
1	19	5	10
1	19	14	9
1	20	2	2
1	20	2	4
1	20	3	10
1	20	6	11
1	20	8	3
1	20	15	7
1	20	15	11
1	21	2	7
1	21	2	9
1	21	2	10
1	21	3	1
1	21	3	9
1	21	4	2
1	21	5	5
1	21	5	8
1	21	7	11
1	21	8	4
1	21	15	13
1	22	2	1
1	23	2	5
1	23	2	8
1	23	4	3
1	23	5	11
1	23	6	3
1	23	6	13
1	23	7	12
1	23	8	8
1	24	3	2
1	24	4	7
1	24	4	11
1	24	6	9
1	24	7	14
1	25	3	5
1	25	5	7
1	25	6	5
1	25	6	6
1	25	7	4
1	26	4	10
1	26	6	8
1	26	8	10
1	27	4	4
1	27	6	14
1	28	4	9
1	29	5	12
1	29	7	10
1	29	8	5
1	29	8	6
1	30	5	9
1	31	7	1
1	31	9	6
1	32	7	2
1	32	7	5
1	32	8	13
1	32	9	11
1	33	8	1
1	34	9	8
2	1	1	1
2	1	12	14
2	2	1	11
2	3	1	2
2	3	2	5
2	3	7	13
2	3	8	4
2	3	9	10
2	3	14	7
2	4	1	3
2	4	1	6
2	4	2	8
2	4	6	6
2	4	9	5
2	5	1	4
2	5	5	8
2	5	6	14
2	5	8	8
2	5	9	12
2	5	13	6
2	6	1	5
2	6	6	10
2	6	10	4
2	6	10	6
2	6	10	11
2	6	12	12
2	6	14	15
2	7	1	7
2	7	1	9
2	7	6	5
2	7	7	12
2	7	10	10
2	8	1	8
2	8	3	6
2	9	3	3
2	9	3	5
2	9	4	5
2	9	6	8
2	9	7	11
2	9	9	2
2	9	9	6
2	9	9	14
2	9	9	15
2	9	10	5
2	9	10	9
2	9	10	12
2	9	10	13
2	9	10	14
2	9	11	3
2	9	11	8
2	9	11	11
2	9	11	12
2	9	11	13
2	9	11	15
2	9	12	5
2	9	12	8
2	9	12	9
2	9	12	10
2	9	13	8
2	9	13	14
2	9	13	15
2	9	14	13
2	10	3	2
2	10	4	10
2	10	4	12
2	10	5	1
2	10	5	6
2	10	5	13
2	10	6	1
2	10	6	7
2	10	6	11
2	10	6	12
2	10	6	13
2	10	7	9
2	10	7	10
2	10	8	3
2	10	8	9
2	10	8	12
2	10	8	13
2	10	8	14
2	10	9	3
2	10	9	13
2	10	10	3
2	10	10	7
2	10	10	8
2	10	11	10
2	10	11	14
2	10	14	11
2	11	11	5
2	11	11	6
2	12	5	4
2	12	11	9
2	12	12	15
2	12	13	13
2	13	2	9
2	13	3	1
2	13	3	4
2	13	4	11
2	13	6	3
2	13	7	7
2	13	7	14
2	13	12	6
2	13	12	11
2	13	12	13
2	13	13	11
2	13	14	10
2	14	2	2
2	14	2	12
2	14	7	8
2	14	8	5
2	14	14	9
2	14	14	14
2	15	2	1
2	15	2	3
2	15	3	7
2	15	3	10
2	15	4	6
2	15	4	13
2	15	5	3
2	15	5	10
2	15	6	4
2	15	7	4
2	15	7	6
2	15	9	11
2	15	15	14
2	15	15	15
2	16	2	4
2	16	2	11
2	16	3	8
2	16	4	3
2	16	4	7
2	16	4	9
2	16	5	12
2	17	2	6
2	17	3	11
2	17	4	4
2	17	7	3
2	17	7	5
2	17	9	8
2	18	2	7
2	19	3	12
2	19	4	1
2	19	4	2
2	19	4	8
2	19	8	7
2	19	8	11
2	20	3	9
2	20	5	7
2	20	6	9
2	20	7	15
2	20	8	6
2	20	8	10
2	20	9	4
2	20	9	7
2	20	9	9
2	21	5	9
2	21	5	11
2	22	5	5
2	22	7	2
